,VCL,MYH9,TLN1,TLN2,ACTN1,ACTN3,ACTN4,PLEC,VIM,FLNA,FLNB,FLNC,KRT18,GSN,LMNA,LMNB1,LMNB2,ACTG1,young_modulus_median_status
1418,80.0,557.3333333333334,164.33333333333334,17.333333333333332,659.0,44.0,648.6666666666666,1007.0,222.0,267.0,1185.0,105.66666666666669,59.0,51.33333333333334,566.3333333333334,19.33333333333333,20.33333333333333,392.66666666666674,1
2078,76.33333333333333,530.6666666666666,162.33333333333334,17.333333333333332,661.3333333333334,42.0,674.3333333333334,1206.0,208.0,266.3333333333333,903.6666666666664,111.0,51.66666666666666,33.0,557.0,16.333333333333332,15.666666666666664,382.0,1
5616,20.0,366.33333333333326,53.33333333333334,1.6666666666666667,159.33333333333334,23.33333333333333,323.3333333333333,672.6666666666666,528.0,302.0,386.66666666666674,50.33333333333334,0.0,7.666666666666668,634.6666666666666,25.0,12.333333333333336,338.3333333333333,1
3030,1.3333333333333333,228.3333333333333,7.0,0.0,64.0,11.666666666666664,119.33333333333331,112.66666666666669,40.333333333333336,58.66666666666666,65.66666666666667,0.6666666666666666,21.33333333333333,2.6666666666666665,405.0,10.0,1.0,205.3333333333333,0
3243,9.666666666666666,358.33333333333326,13.0,0.0,908.3333333333336,65.66666666666667,839.6666666666665,1990.666666666667,77.0,209.66666666666663,529.6666666666666,21.33333333333333,467.33333333333326,7.333333333333332,628.3333333333334,36.0,25.0,462.33333333333326,1
3303,29.66666666666667,317.0,41.0,3.333333333333333,918.0,53.66666666666666,827.6666666666665,1640.0,58.0,248.3333333333333,591.3333333333334,31.33333333333333,317.6666666666667,18.666666666666668,510.0,25.66666666666667,16.333333333333332,387.66666666666674,1
1261,13.0,108.33333333333331,73.33333333333333,5.333333333333333,158.33333333333334,25.0,300.3333333333333,319.6666666666667,239.3333333333333,127.66666666666669,34.666666666666664,10.0,0.0,111.33333333333331,761.0,26.66666666666667,10.0,209.0,1
4160,45.66666666666666,277.6666666666667,21.66666666666667,0.0,177.33333333333337,23.33333333333333,278.6666666666667,492.0,79.66666666666667,238.0,380.66666666666674,25.66666666666667,213.0,2.0,422.33333333333326,15.333333333333336,8.0,386.66666666666674,0
4018,45.33333333333334,242.3333333333333,18.666666666666668,0.0,180.0,25.33333333333333,342.3333333333333,449.0,72.0,217.0,337.3333333333333,18.666666666666668,232.0,0.3333333333333333,430.33333333333326,15.0,4.333333333333333,397.0,1
4133,45.66666666666666,277.6666666666667,21.66666666666667,0.0,177.33333333333337,23.33333333333333,278.6666666666667,492.0,79.66666666666667,238.0,380.66666666666674,25.66666666666667,213.0,2.0,422.33333333333326,15.333333333333336,8.0,386.66666666666674,0
1371,10.333333333333334,112.66666666666669,85.33333333333333,3.333333333333333,186.66666666666663,24.33333333333333,316.6666666666667,266.6666666666667,253.66666666666663,131.66666666666666,35.666666666666664,12.0,1.6666666666666667,137.0,722.0,31.0,12.0,229.66666666666663,1
1519,64.66666666666667,547.3333333333334,117.33333333333331,10.666666666666666,412.0,36.333333333333336,576.6666666666666,776.0,220.66666666666663,222.66666666666663,788.6666666666665,93.0,49.66666666666666,28.0,602.3333333333334,19.33333333333333,15.666666666666664,364.0,1
5895,35.0,418.33333333333326,69.0,4.666666666666667,162.33333333333334,29.66666666666667,364.66666666666674,652.6666666666666,514.0,355.0,422.33333333333326,49.66666666666666,1.6666666666666667,12.0,649.6666666666666,23.33333333333333,10.666666666666666,438.66666666666674,0
1529,64.66666666666667,547.3333333333334,117.33333333333331,10.666666666666666,412.0,36.333333333333336,576.6666666666666,776.0,220.66666666666663,222.66666666666663,788.6666666666665,93.0,49.66666666666666,28.0,602.3333333333334,19.33333333333333,15.666666666666664,364.0,1
84,11.666666666666664,157.0,11.666666666666664,0.0,54.33333333333334,13.333333333333336,211.66666666666663,6.333333333333332,0.0,13.666666666666664,70.33333333333333,4.333333333333333,49.0,0.0,237.3333333333333,30.0,16.666666666666668,191.0,0
6526,49.33333333333334,529.6666666666666,155.66666666666666,11.0,324.0,27.33333333333333,280.0,289.3333333333333,973.0,240.3333333333333,372.66666666666674,385.66666666666674,0.0,19.33333333333333,619.0,8.333333333333334,13.666666666666664,387.33333333333326,0
1087,16.333333333333332,120.66666666666669,83.66666666666667,6.0,209.0,25.66666666666667,330.6666666666667,456.0,229.66666666666663,138.0,50.33333333333334,10.666666666666666,5.666666666666668,124.33333333333331,801.6666666666665,34.666666666666664,12.666666666666664,217.3333333333333,1
5271,13.666666666666664,347.66666666666674,57.66666666666666,1.6666666666666667,172.66666666666663,26.33333333333333,315.0,552.3333333333334,438.66666666666674,323.6666666666667,410.66666666666674,56.0,0.0,10.333333333333334,571.6666666666666,19.0,8.666666666666666,273.6666666666667,1
1569,64.66666666666667,547.3333333333334,117.33333333333331,10.666666666666666,412.0,36.333333333333336,576.6666666666666,776.0,220.66666666666663,222.66666666666663,788.6666666666665,93.0,49.66666666666666,28.0,602.3333333333334,19.33333333333333,15.666666666666664,364.0,1
218,15.0,224.3333333333333,21.66666666666667,0.0,60.33333333333334,16.333333333333332,233.3333333333333,10.0,0.0,20.0,97.33333333333331,6.333333333333332,54.66666666666666,0.0,284.6666666666667,31.0,17.333333333333332,235.66666666666663,0
3932,38.0,244.0,22.0,0.0,172.33333333333337,23.33333333333333,324.6666666666667,533.6666666666666,73.66666666666667,214.3333333333333,344.0,19.33333333333333,267.0,0.6666666666666666,403.0,14.0,7.0,380.0,1
3731,24.66666666666667,311.3333333333333,36.66666666666666,3.0,887.3333333333335,55.66666666666666,778.0,1603.666666666667,69.0,247.3333333333333,534.3333333333334,26.0,348.0,15.0,543.3333333333334,22.33333333333333,16.666666666666668,344.33333333333326,1
4498,42.0,272.0,27.33333333333333,0.0,187.3333333333333,23.33333333333333,323.0,569.6666666666666,95.66666666666669,255.0,404.66666666666674,24.66666666666667,209.66666666666663,3.0,434.66666666666674,18.0,6.333333333333332,381.66666666666674,1
5336,13.666666666666664,347.66666666666674,57.66666666666666,1.6666666666666667,172.66666666666663,26.33333333333333,315.0,552.3333333333334,438.66666666666674,323.6666666666667,410.66666666666674,56.0,0.0,10.333333333333334,571.6666666666666,19.0,8.666666666666666,273.6666666666667,1
6519,49.33333333333334,529.6666666666666,155.66666666666666,11.0,324.0,27.33333333333333,280.0,289.3333333333333,973.0,240.3333333333333,372.66666666666674,385.66666666666674,0.0,19.33333333333333,619.0,8.333333333333334,13.666666666666664,387.33333333333326,0
220,15.0,224.3333333333333,21.66666666666667,0.0,60.33333333333334,16.333333333333332,233.3333333333333,10.0,0.0,20.0,97.33333333333331,6.333333333333332,54.66666666666666,0.0,284.6666666666667,31.0,17.333333333333332,235.66666666666663,0
1390,80.0,557.3333333333334,164.33333333333334,17.333333333333332,659.0,44.0,648.6666666666666,1007.0,222.0,267.0,1185.0,105.66666666666669,59.0,51.33333333333334,566.3333333333334,19.33333333333333,20.33333333333333,392.66666666666674,1
2670,6.333333333333332,182.66666666666663,19.33333333333333,0.6666666666666666,111.0,18.0,148.66666666666666,104.66666666666669,30.0,66.66666666666667,182.3333333333333,5.333333333333333,29.33333333333333,10.333333333333334,401.33333333333326,17.0,7.666666666666668,200.3333333333333,0
6514,49.33333333333334,529.6666666666666,155.66666666666666,11.0,324.0,27.33333333333333,280.0,289.3333333333333,973.0,240.3333333333333,372.66666666666674,385.66666666666674,0.0,19.33333333333333,619.0,8.333333333333334,13.666666666666664,387.33333333333326,0
1669,64.66666666666667,547.3333333333334,117.33333333333331,10.666666666666666,412.0,36.333333333333336,576.6666666666666,776.0,220.66666666666663,222.66666666666663,788.6666666666665,93.0,49.66666666666666,28.0,602.3333333333334,19.33333333333333,15.666666666666664,364.0,1
5628,20.0,366.33333333333326,53.33333333333334,1.6666666666666667,159.33333333333334,23.33333333333333,323.3333333333333,672.6666666666666,528.0,302.0,386.66666666666674,50.33333333333334,0.0,7.666666666666668,634.6666666666666,25.0,12.333333333333336,338.3333333333333,1
4408,42.66666666666666,244.66666666666663,22.33333333333333,0.0,181.3333333333333,25.66666666666667,320.3333333333333,719.0,84.0,236.3333333333333,355.33333333333326,20.33333333333333,226.66666666666663,0.6666666666666666,424.66666666666674,17.0,7.0,417.0,1
5306,13.666666666666664,347.66666666666674,57.66666666666666,1.6666666666666667,172.66666666666663,26.33333333333333,315.0,552.3333333333334,438.66666666666674,323.6666666666667,410.66666666666674,56.0,0.0,10.333333333333334,571.6666666666666,19.0,8.666666666666666,273.6666666666667,1
